CrsId,OrgCode,CrsCode,CrsName,CreditHours,GrdCode
1,5801,DEVELOPMENT,Leadership,3,T
2,5801,MILITARY POLICE,Wellness/Fitness,3,T
3,6001,Bmft 601,Pre-Internship,3,T
4,6001,Bmft 610,PreMarriage & Marriage Therapy,3,T
5,6001,Bmft 639,Family Theory/Gen Systems,3,T
6,6001,Bmft 662,Family Life Cycle,3,T
7,6001,ENG500,GS:Memoir & Poetry,3,T
8,6001,ENGL523,Poetry Workshop,3,T
9,6001,ENGL613,Literary Theory and Faith,3,T
10,6001,ENGL640,ST: Mythology,3,T
11,5001,ACCT2101,Principles of Accounting I,3,T
12,5001,COMM1110,Public Speaking,3,T
13,5001,ECON2105,Macroeconomics,3,T
14,5001,ECON2106,Microeconomics,3,T
15,5001,ENGL1101,Composition I,3,T
16,5001,ENGL1102,Composition II,3,T
17,5001,ENGL2114,World Literature,3,T
18,5001,HIST2111,US History I,3,T
19,5001,MATH111,College Algebra,3,T
20,5001,MATH1113,Pre Calculus Math,4,T
21,5001,MATH2053,Calculus I,4,T
22,5001,PHED1100,Health&Wellness,2,T
23,5001,PHED1180,Varsity Sports I,1,T
24,5001,PHED1190,Varsity Sports II,1,T
25,5001,PHSC1011,Physical Science I,4,T
26,5001,POLS1101,American Government,3,T
27,5001,PSYC1101,General Psychology,3,T
28,5001,SCIE1005,Environmental Science,4,T
29,5001,SPAN1001,Elementary Spanish I,3,T
30,5001,SPAN1002,Elementary Spanish II,3,T
31,1981,IAD230,Survey of Traditional ID,3,T
32,1981,IAD231,Survey of Contemp IAD,3,T
33,4001,Ar 367,Women Artists in Art History,3,T
34,4001,ED589,Bridgng Wrld Hist,3,T
35,4001,Edrd 589,Phonemic Aware/Phonics,3,T
36,4001,Edrd 589,Vocab/Word Mean/Knowledg,3,T
37,4001,EDRD730,Teaching Read/Write,3,T
38,4001,SCED 559,Sharks and Rays,3,T
39,4001,Sced 559,Solar Sys/Earth&Space Science,3,T
40,4001,Sced 589,Teaching HS: Biology,3,T
41,4001,SCED559,Sharks & Rays,3,T
42,4001,SCED589,Global Climte Chng/Ed/Mid Sch,3,T
43,4001,Teed 589,Computer/Personal Prod,4,T
44,4001,Teed 589,Tchg w/WebQuests Grk-12,4,T
45,5002,Bio 103,Principles of Biol,4,T
46,5002,Bio 104,Principles of Bio B,4,T
47,5002,DAN213,Intermediate Jazz Dance,1,T
48,5002,Mth 113,Precalculus Trigon,3,T
49,$1 ,Cs 1101,Computer Basics,4,T
50,$1 ,En 1101,Composition,4,T
51,$1 ,En 1102,English Composition II,4,T
52,$1 ,Hu 2220,"War, Rel and Love in Mid Ages",4,T
53,$1 ,Sc 2206,Intro to Physics,4,T
54,$1 ,Va 1401,Intermediate Drawing,3,T
55,$1 ,Va 14010,Figure Drawing II,3,T
56,$1 ,Va 1403,Principles of Design I,3,T
57,$1 ,Va 1404,Principles of Design II,3,T
58,$1 ,Va 1407,Three Dimensional Design,3,T
59,$1 ,Va 1411,Black & White Photography I,3,T
60,$1 ,Va 2413,Landscape Painting,3,T
61,$1 ,Va 2800,Idea Generation & Creative Pro,3,T
62,$1 ,Va 2810,Anatomy,3,T
63,$1 ,Va 3415,Figure Sculpture I,3,T
64,5037,Acc 101,Principles of Acco,3,T
65,5037,Bio 101,Biological Science,4,T
66,5037,Chm 110,College Chemistry,4,T
67,5037,Cpt 101,Introduction to Com,3,T
68,5037,Cpt 170,Microcomputer Appl,3,T
69,5037,Eco 253,Macroeconomics,3,T
70,5037,Eco 254,Microeconomics,3,T
71,5037,Eng 101,English Composition,3,T
72,5037,Eng 102,English Composition,3,T
73,5037,ENG101,English Comp I,3,T
74,5037,ENG101,English Composition I,3,T
75,5037,ENG102,English Comp II,3,T
76,5037,ENG102,English Composition II,3,T
77,5037,His 102,Western Civ: Post,3,T
78,5037,His 201,Amer Hist: Disc to,3,T
79,5037,Mat 110,College Algebra,3,T
80,5037,Mkt 214,Advertising,3,T
81,5037,Psy 201,General Psychology,3,T
82,5037,PSY201,General Psychology,3,T
83,5037,REL103,Comparative Religion,3,T
84,5037,Soc 101,Introduction to So,3,T
85,5037,Soc 101,Introduction to Sociology,3,T
86,5037,SOC101,Sociology,3,T
87,5037,Spa 101,Elementary Spanish,4,T
88,5037,The 101,Introduction to Thea,3,T
89,**AL,Arabi101,Arabic I,3,T
90,**AL,Arabi102,Arabic II,3,T
91,1644,Eng 101,Composition I,3,T
92,5005,BIOL111,Human Biology,3,T
93,5005,BIOL271,Anatomy&Physiology I,4,T
94,5005,COMM130,Public Speaking,3,T
95,5005,ENG200,Advanced Composition,3,T
96,5005,HSCI260,Nutrition,3,T
97,5005,MATH141,Trigonometry,3,T
98,5005,PSYC420,Abnormal Psych,3,T
99,5006,Bua 331,Accounting I,3,T
100,5006,Bus 332,Accounting II,3,T
101,5006,Educ 205,Intro to Educ,2,T
102,5006,Educ 305,Prin & Phil Edu,3,T
103,5006,Eng 202,World Literature,3,T
104,5006,Hpe 110,Pers & Com Health,2,T
105,5006,Hum 201,Humanities,3,T
106,5006,Mus 200,Music Appreciation,2,T
107,5006,Pe 001,Found & Leisure,2,T
108,5006,Psy 305,Adol Psychology,3,T
109,5006,Re 107,Biblical Lit,2,T
110,5006,Re 108,Biblical Lit,2,T
111,5006,Sci 105,Biological Sci,3,T
112,5006,Sci 106,Biological Science,3,T
113,5006,Sci 203,Soc Science,3,T
114,5006,Sci 206,Phy Science,3,T
115,5006,Soc 204,Soci Science,3,T
