ARCCode,CreditType
CLP100,TR
HPE256,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
ACC211,TR
THR120,TR
ECN202,TR
ECN201,TR
ENG101,TR
ENG102,TR
ENG305,TR
HST201,TR
GEP2,TR
MTH115,TR
MTH120,TR
HPE255,TR
ELE00,TR
ELE00,TR
GEP3,TR
POL101,TR
PSY100,TR
ELE00,TR
SPN101,TR
SPN102,TR
DES381,TR
DES382,TR
,TR
,TR
,TR
,TR
,TR
ELE00,TR
,TR
,TR
ELE00,TR
,TR
,TR
,TR
,TR
,TR
DAN214,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
ENG101,TR
ENG102,TR
ENG101,TR
EN101,TR
ENG102,TR
ENG102,TR
,TR
,TR
,TR
,TR
PSY100,TR
PSY100,TR
GEP1F,TR
SOC100,TR
,TR
SOC100,TR
,TR
,TR
,TR
,TR
,TR
BIO105,TR
BIO211,TR
THR120,TR
ENG102,TR
BIO150,TR
ELE00,TR
PSY204,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
ELE00,TR
ELE00,TR
ENV101,TR
PSY100,TR
CSC101,TR
CSC235,TR
,TR
,TR
,TR
,TR
,TR
,TR
PHI200,TR
,TR
,TR
REL100,TR
ECN201,TR
ECN202,TR
EDU305,TR
ELE00,TR
ART311,TR
SED300,TR
ENG101,TR
FIN200,TR
ELEC,TR
ELE00,TR
ELE00,TR
BAD206,TR
BAD330,TR
PHI210,TR
BAD340,TR
GEP3,TR
PSY100,TR
PSY360,TR
PSY380,TR
ELE00,TR
ELE00,TR
,TR
,TR
,TR
,TR
,TR
CSC101,TR
ELE00,TR
ENG101,TR
ENG102,TR
MTH110,TR
PSY100,TR
ART100,TR
REL103,TR
REL205,TR
,TR
REL100,TR
CSC100,TR
PSY233,TR
ELE00,TR
ELE00,TR
EDU610,TR
EDU611,TR
EDU611,TR
EDU600,TR
ENG101,TR
ENG102,TR
ENG305,TR
ENG101,TR
ENG102,TR
,TR
HST110,TR
HST201,TR
HST201,TR
,TR
,TR
ELE00,TR
ELE00,TR
ELE00,TR
HPE255,TR
MTH101,TR
MTH423,TR
,TR
GEP2,TR
MEN150,TR
PSY100,TR
PSY380,TR
PSY231,TR
,TR
SOC100,TR
SPN101,TR
SPN102,TR
,TR
ACC211,TR
ACC409,TR
ELE00,TR
,TR
,TR
ART100,TR
ELE00,TR
ELE00,TR
ELE00,TR
,TR
,TR
,TR
,TR
,TR
BIO191,TR
ENV101,TR
BIO190,TR
BIO105,TR
GEP3,TR
GEP1J,TR
,TR
BAD300,TR
ECN300,TR
,TR
GEP1F,TR
ELE00,TR
GEP1F,TR
ELE00,TR
GEP1G,TR
REL100,TR
ELE00,TR
ELE00,TR
CSC101,TR
CSC101,TR
,TR
ELE00,TR
,TR
,TR
ECN201,TR
ECN201,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
EDU360,TR
SED300,TR
ELE00,TR
ELE00,TR
PSY233,TR
EDU203,TR
,TR
,TR
,TR
,TR
,TR
ENG101,TR
ENG102,TR
,TR
,TR
,TR
,TR
,TR
,TR
ENG101,TR
ENG101,TR
ENG102,TR
ENG102,TR
ELE00,TR
ENG101,TR
ENG101,TR
ENG101,TR
ENG101,TR
ENG101,TR
ENG101,TR
ENG101,TR
ENG102,TR
ENG102,TR
ENG102,TR
ENG101,TR
ENG102,TR
ELE00,TR
ENG305,TR
ELE00,TR
ELE00,TR
,TR
GEP1E,TR
ELE00,TR
GEP1E,TR
HST202,TR
HST202,TR
GEP1F,TR
HST100,TR
,TR
GEP1E,TR
,TR
DES282,TR
,TR
ELE00,TR
,TR
DES282,TR
ELE00,TR
,TR
HPE255,TR
HPE255,TR
ELE00,TR
HPE153,TR
HPE255,TR
HPE256,TR
,TR
,TR
GEP2,TR
MTH108,TR
MTH113,TR
ELE00,TR
MTH113,TR
MTH120,TR
MTH115,TR
MTH210,TR
GEP2,TR
MTH108,TR
MTH113,TR
MTH113,TR
MTH113,TR
MTH113,TR
MTH115,TR
,TR
BAD330,TR
,TR
ELE00,TR
ELE00,TR
ELE00,TR
,TR
ELE00,TR
ELE00,TR
ELE00,TR
ELE00,TR
ELE00,TR
,TR
,TR
,TR
,TR
,TR
PSY100,TR
,TR
,TR
,TR
PSY100,TR
PSY100,TR
PSY100,TR
,TR
,TR
,TR
SOC100,TR
,TR
,TR
SOC100,TR
SOC100,TR
,TR
ELE00,TR
ELE00,TR
,TR
,TR
,TR
,TR
,TR
,TR
BIO100,TR
CHM150,TR
THR120,TR
ENG101,TR
ENG102,TR
ENG305,TR
HPE180,TR
HPE195,TR
HPE255,TR
ELE00,TR
HST201,TR
GEP2,TR
MTH113,TR
MUH110,TR
ELE00,TR
HPE152,TR
ELE00,TR
HPE126,TR
ELE00,TR
ELE00,TR
ELE00,TR
ECN202,TR
ENG101,TR
ENG102,TR
GEP3,TR
POL101,TR
GEP1E,TR
HPE154,TR
SOC100,TR
THR120,TR
TRAN000,TR
,TR
,TR
GEP1E,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
GEP1E,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
BIO350,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
SED395,TR
SED390,TR
ENG101,TR
ENG101,TR
ENG101,TR
,TR
PSY100,TR
,TR
,TR
PSY100,TR
PSY100,TR
SOC100,TR
SOC100,TR
SPN101,TR
SPN101,TR
ACC211,TR
ACC212,TR
ELE00,TR
ELE00,TR
ELE00,TR
,TR
,TR
DAN110,TR
ECN150,TR
ECN202,TR
ENG101,TR
ENG102,TR
EL110,TR
PSY380,TR
EDU305,TR
ELE00,TR
SOC306,TR
ELE00,TR
ELE00,TR
MUT102,TR
ELE00,TR
ELE00,TR
MUA102,TR
ELE00,TR
ELE00,TR
ELE00,TR
MEN150,TR
MUH100,TR
MTY151,TR
MTY250,TR
MTY381,TR
GEP1O,TR
PSY204,TR
ENG291,TR
GEP1N,TR
,TR
,TR
,TR
ELE00,TR
EDU621,TR
ELE00,TR
ELE00,TR
BIO110,TR
,TR
ART126,TR
BIO190,TR
BIO202,TR
BIO203,TR
CHM190,TR
THR120,TR
ENG101,TR
ENG102,TR
GEP3A,TR
GEP1E,TR
MTH110,TR
ELE00,TR
SOC100,TR
,TR
SPN101,TR
,TR
BIO100,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
,TR
ART113,TR
ART111,TR
,TR
,TR
THR120,TR
ENG101,TR
