"CrsID","ARCCode","TYear","TTerm","CreditType"
0,"CLP100","TR","TR","TR"
1,"HPE256","TR","TR","TR"
2,"Elective credit only","0000","TR","TR"
3,"Elective credit only","0000","TR","TR"
4,"Elective credit only","0000","TR","TR"
5,"Elective credit only","0000","TR","TR"
6,"Elective credit only","TR","TR","TR"
7,"Elective credit only","TR","TR","TR"
8,"Elective credit only","TR","TR","TR"
9,"Elective credit only","TR","TR","TR"
10,"ACC211","TR","TR","TR"
11,"THR120","TR","TR","TR"
12,"ECN202","TR","TR","TR"
13,"ECN201","TR","TR","TR"
14,"ENG101","TR","TR","TR"
15,"ENG102","TR","TR","TR"
16,"ENG305","TR","TR","TR"
17,"HST201","TR","TR","TR"
18,"GEP2","TR","TR","TR"
19,"MTH115","TR","TR","TR"
20,"MTH120","TR","TR","TR"
21,"HPE255","TR","TR","TR"
22,"ELE00","TR","TR","TR"
23,"ELE00","TR","TR","TR"
24,"GEP3","TR","TR","TR"
25,"POL101","TR","TR","TR"
26,"PSY100","TR","TR","TR"
27,"ELE00","TR","TR","TR"
28,"SPN101","TR","TR","TR"
29,"SPN102","TR","TR","TR"
30,"DES381","TR","TR","TR"
31,"DES382","TR","TR","TR"
32,"Elective credit only","0000","TR","TR"
33,"Elective credit only","TR","TR","TR"
34,"Elective credit only","0000","TR","TR"
36,"Elective credit only","TR","TR","TR"
37,"ELE00","TR","TR","TR"
37,"Elective credit only","0000","TR","TR"
39,"Elective credit only","0000","TR","TR"
42,"Elective credit only","0000","TR","TR"
44,"Elective credit only","0000","TR","TR"
45,"Elective credit only","0000","TR","TR"
46,"DAN214","TR","TR","TR"
47,"Elective credit only","0000","TR","TR"
48,"Elective credit only","0000","TR","TR"
49,"Elective credit only","0000","TR","TR"
50,"Elective credit only","0000","TR","TR"
51,"Elective credit only","0000","TR","TR"
52,"Elective credit only","0000","TR","TR"
53,"Elective credit only","0000","TR","TR"
54,"Elective credit only","0000","TR","TR"
55,"Elective credit only","0000","TR","TR"
56,"Elective credit only","0000","TR","TR"
57,"Elective credit only","0000","TR","TR"
58,"Elective credit only","0000","TR","TR"
59,"Elective credit only","0000","TR","TR"
60,"Elective credit only","0000","TR","TR"
61,"Elective credit only","0000","TR","TR"
62,"Elective credit only","0000","TR","TR"
63,"Elective credit only","0000","TR","TR"
64,"Elective credit only","0000","TR","TR"
65,"Elective credit only","0000","TR","TR"
66,"Elective credit only","0000","TR","TR"
67,"Elective credit only","0000","TR","TR"
68,"Elective credit only","0000","TR","TR"
69,"Elective credit only","0000","TR","TR"
70,"ENG101","0000","TR","TR"
71,"ENG102","0000","TR","TR"
76,"Elective credit only","0000","TR","TR"
77,"Elective credit only","0000","TR","TR"
78,"Elective credit only","0000","TR","TR"
79,"Elective credit only","0000","TR","TR"
80,"PSY100","0000","TR","TR"
82,"GEP1F","TR","TR","TR"
83,"SOC100","0000","TR","TR"
83,"Elective credit only","0000","TR","TR"
86,"Elective credit only","0000","TR","TR"
87,"Elective credit only","0000","TR","TR"
88,"Elective credit only","0000","TR","TR"
89,"Elective credit only","0000","TR","TR"
90,"Elective credit only","0000","TR","TR"
91,"BIO105","TR","TR","TR"
92,"BIO211","TR","TR","TR"
93,"THR120","TR","TR","TR"
94,"ENG102","TR","TR","TR"
95,"BIO150","TR","TR","TR"
96,"ELE00","TR","TR","TR"
97,"PSY204","TR","TR","TR"
98,"Elective credit only","0000","TR","TR"
99,"Elective credit only","0000","TR","TR"
100,"Elective credit only","0000","TR","TR"
101,"Elective credit only","0000","TR","TR"
102,"Elective credit only","0000","TR","TR"
103,"Elective credit only","0000","TR","TR"
104,"Elective credit only","0000","TR","TR"
105,"Elective credit only","0000","TR","TR"
106,"Elective credit only","0000","TR","TR"
107,"Elective credit only","0000","TR","TR"
108,"Elective credit only","0000","TR","TR"
109,"Elective credit only","0000","TR","TR"
110,"Elective credit only","0000","TR","TR"
111,"Elective credit only","0000","TR","TR"
112,"Elective credit only","0000","TR","TR"
113,"Elective credit only","0000","TR","TR"
114,"Elective credit only","0000","TR","TR"
115,"Elective credit only","0000","TR","TR"
116,"Elective credit only","0000","TR","TR"
117,"Elective credit only","0000","TR","TR"
118,"Elective credit only","0000","TR","TR"
119,"Elective credit only","0000","TR","TR"
120,"Elective credit only","0000","TR","TR"
121,"Elective credit only","0000","TR","TR"
122,"Elective credit only","0000","TR","TR"
123,"Elective credit only","0000","TR","TR"
124,"Elective credit only","0000","TR","TR"
125,"Elective credit only","0000","TR","TR"
126,"Elective credit only","0000","TR","TR"
127,"Elective credit only","0000","TR","TR"
128,"Elective credit only","0000","TR","TR"
129,"Elective credit only","0000","TR","TR"
130,"Elective credit only","0000","TR","TR"
131,"Elective credit only","0000","TR","TR"
132,"Elective credit only","0000","TR","TR"
133,"Elective credit only","0000","TR","TR"
134,"Elective credit only","0000","TR","TR"
135,"Elective credit only","0000","TR","TR"
136,"Elective credit only","0000","TR","TR"
137,"Elective credit only","0000","TR","TR"
138,"Elective credit only","0000","TR","TR"
139,"Elective credit only","0000","TR","TR"
140,"Elective credit only","0000","TR","TR"
141,"Elective credit only","0000","TR","TR"
142,"Elective credit only","0000","TR","TR"
143,"Elective credit only","0000","TR","TR"
144,"Elective credit only","0000","TR","TR"
145,"Elective credit only","0000","TR","TR"
146,"Elective credit only","0000","TR","TR"
147,"Elective credit only","0000","TR","TR"
148,"Elective credit only","0000","TR","TR"
149,"Elective credit only","0000","TR","TR"
150,"Elective credit only","0000","TR","TR"
151,"Elective credit only","0000","TR","TR"
152,"ELE00","TR","TR","TR"
153,"ELE00","TR","TR","TR"
154,"ENV101","TR","TR","TR"
155,"PSY100","TR","TR","TR"
156,"CSC101","TR","TR","TR"
157,"CSC235","TR","TR","TR"
158,"Elective credit only","0000","TR","TR"
159,"Elective credit only","0000","TR","TR"
160,"Elective credit only","0000","TR","TR"
161,"Elective credit only","TR","TR","TR"
162,"Elective credit only","TR","TR","TR"
163,"Elective credit only","TR","TR","TR"
164,"PHI200","TR","TR","TR"
165,"Elective credit only","0000","TR","TR"
166,"Elective credit only","TR","TR","TR"
167,"REL100","TR","TR","TR"
168,"ECN201","TR","TR","TR"
169,"ECN202","TR","TR","TR"
170,"EDU305","TR","TR","TR"
171,"ELE00","TR","TR","TR"
172,"ART311","TR","TR","TR"
173,"SED300","TR","TR","TR"
174,"ENG101","TR","TR","TR"
175,"FIN200","TR","TR","TR"
176,"ELEC","TR","TR","TR"
177,"ELE00","TR","TR","TR"
178,"ELE00","TR","TR","TR"
179,"BAD206","TR","TR","TR"
180,"BAD330","TR","TR","TR"
181,"PHI210","TR","TR","TR"
182,"BAD340","TR","TR","TR"
183,"GEP3","TR","TR","TR"
184,"PSY100","TR","TR","TR"
185,"PSY360","TR","TR","TR"
186,"PSY380","TR","TR","TR"
187,"ELE00","TR","TR","TR"
188,"ELE00","TR","TR","TR"
189,"Elective credit only","0000","TR","TR"
190,"Elective credit only","0000","TR","TR"
191,"Elective credit only","0000","TR","TR"
192,"Elective credit only","0000","TR","TR"
193,"Elective credit only","0000","TR","TR"
194,"CSC101","TR","TR","TR"
195,"ELE00","TR","TR","TR"
196,"ENG101","TR","TR","TR"
197,"ENG102","TR","TR","TR"
198,"MTH110","TR","TR","TR"
199,"PSY100","TR","TR","TR"
200,"ART100","TR","TR","TR"
201,"REL103","TR","TR","TR"
201,"REL205","TR","TR","TR"
203,"Elective credit only","TR","TR","TR"
201,"REL100","TR","TR","TR"
205,"CSC100","TR","TR","TR"
206,"PSY233","TR","TR","TR"
207,"ELE00","TR","TR","TR"
209,"EDU610","0000","TR","TR"
210,"EDU611","0000","TR","TR"
212,"EDU600","0000","TR","TR"
213,"ENG101","TR","TR","TR"
214,"ENG102","TR","TR","TR"
215,"ENG305","TR","TR","TR"
218,"Elective credit only","TR","TR","TR"
219,"HST110","TR","TR","TR"
220,"HST201","TR","TR","TR"
222,"Elective credit only","TR","TR","TR"
223,"Elective credit only","TR","TR","TR"
224,"ELE00","TR","TR","TR"
225,"ELE00","TR","TR","TR"
226,"ELE00","TR","TR","TR"
227,"HPE255","TR","TR","TR"
228,"MTH101","TR","TR","TR"
229,"MTH423","TR","TR","TR"
230,"Elective credit only","TR","TR","TR"
228,"GEP2","TR","TR","TR"
232,"MEN150","TR","TR","TR"
233,"PSY100","TR","TR","TR"
234,"PSY380","TR","TR","TR"
235,"PSY231","TR","TR","TR"
236,"Elective credit only","TR","TR","TR"
237,"SOC100","TR","TR","TR"
238,"SPN101","TR","TR","TR"
239,"SPN102","TR","TR","TR"
240,"Elective credit only","0000","TR","TR"
241,"ACC211","TR","TR","TR"
242,"ACC409","TR","TR","TR"
243,"ELE00","0000","TR","TR"
244,"Elective credit only","0000","TR","TR"
245,"Elective credit only","0000","TR","TR"
246,"ART100","TR","TR","TR"
247,"ELE00","TR","TR","TR"
250,"Elective credit only","0000","TR","TR"
251,"Elective credit only","0000","TR","TR"
252,"Elective credit only","0000","TR","TR"
253,"Elective credit only","0000","TR","TR"
254,"Elective credit only","0000","TR","TR"
255,"BIO191","TR","TR","TR"
256,"ENV101","TR","TR","TR"
257,"BIO190","TR","TR","TR"
258,"BIO105","TR","TR","TR"
259,"GEP3","TR","TR","TR"
259,"GEP1J","TR","TR","TR"
261,"Elective credit only","0000","TR","TR"
262,"BAD300","TR","TR","TR"
262,"ECN300","TR","TR","TR"
264,"Elective credit only","0000","TR","TR"
265,"GEP1F","TR","TR","TR"
265,"ELE00","TR","TR","TR"
265,"GEP1G","TR","TR","TR"
265,"REL100","TR","TR","TR"
271,"ELE00","0000","TR","TR"
271,"CSC101","TR","TR","TR"
275,"Elective credit only","0000","TR","TR"
276,"ELE00","TR","TR","TR"
277,"Elective credit only","0000","TR","TR"
278,"Elective credit only","0000","TR","TR"
279,"ECN201","TR","TR","TR"
281,"Elective credit only","0000","TR","TR"
282,"Elective credit only","0000","TR","TR"
283,"Elective credit only","0000","TR","TR"
284,"Elective credit only","0000","TR","TR"
285,"Elective credit only","0000","TR","TR"
287,"Elective credit only","TR","TR","TR"
288,"EDU360","TR","TR","TR"
289,"SED300","TR","TR","TR"
290,"ELE00","TR","TR","TR"
290,"PSY233","TR","TR","TR"
293,"EDU203","TR","TR","TR"
294,"Elective credit only","TR","TR","TR"
295,"Elective credit only","TR","TR","TR"
296,"Elective credit only","TR","TR","TR"
297,"Elective credit only","0000","TR","TR"
298,"Elective credit only","0000","TR","TR"
299,"ENG101","0000","TR","TR"
300,"ENG102","0000","TR","TR"
301,"Elective credit only","0000","TR","TR"
302,"Elective credit only","0000","TR","TR"
303,"Elective credit only","0000","TR","TR"
304,"Elective credit only","0000","TR","TR"
305,"Elective credit only","0000","TR","TR"
306,"Elective credit only","0000","TR","TR"
311,"ELE00","TR","TR","TR"
300,"ENG101","TR","TR","TR"
300,"ELE00","TR","TR","TR"
325,"ENG305","TR","TR","TR"
326,"ELE00","TR","TR","TR"
327,"ELE00","0000","TR","TR"
328,"Elective credit only","0000","TR","TR"
329,"GEP1E","TR","TR","TR"
331,"GEP1E","TR","TR","TR"
332,"HST202","TR","TR","TR"
334,"GEP1F","TR","TR","TR"
335,"HST100","TR","TR","TR"
336,"Elective credit only","0000","TR","TR"
337,"GEP1E","TR","TR","TR"
338,"Elective credit only","0000","TR","TR"
339,"DES282","0000","TR","TR"
339,"Elective credit only","0000","TR","TR"
341,"ELE00","0000","TR","TR"
342,"Elective credit only","0000","TR","TR"
345,"Elective credit only","0000","TR","TR"
346,"HPE255","0000","TR","TR"
347,"HPE255","TR","TR","TR"
348,"ELE00","TR","TR","TR"
349,"HPE153","TR","TR","TR"
346,"HPE256","TR","TR","TR"
352,"Elective credit only","0000","TR","TR"
353,"Elective credit only","0000","TR","TR"
354,"GEP2","0000","TR","TR"
355,"MTH108","0000","TR","TR"
356,"MTH113","0000","TR","TR"
357,"ELE00","TR","TR","TR"
359,"MTH120","TR","TR","TR"
359,"MTH115","TR","TR","TR"
361,"MTH210","TR","TR","TR"
369,"Elective credit only","TR","TR","TR"
370,"BAD330","TR","TR","TR"
371,"Elective credit only","0000","TR","TR"
372,"ELE00","TR","TR","TR"
373,"ELE00","TR","TR","TR"
374,"ELE00","TR","TR","TR"
375,"Elective credit only","0000","TR","TR"
376,"ELE00","TR","TR","TR"
377,"ELE00","TR","TR","TR"
378,"ELE00","TR","TR","TR"
379,"ELE00","TR","TR","TR"
380,"ELE00","TR","TR","TR"
381,"Elective credit only","0000","TR","TR"
382,"Elective credit only","0000","TR","TR"
383,"Elective credit only","0000","TR","TR"
384,"Elective credit only","0000","TR","TR"
385,"Elective credit only","0000","TR","TR"
386,"PSY100","0000","TR","TR"
387,"Elective credit only","0000","TR","TR"
388,"Elective credit only","0000","TR","TR"
389,"Elective credit only","0000","TR","TR"
393,"Elective credit only","0000","TR","TR"
394,"Elective credit only","0000","TR","TR"
395,"Elective credit only","0000","TR","TR"
396,"SOC100","0000","TR","TR"
397,"Elective credit only","0000","TR","TR"
398,"Elective credit only","0000","TR","TR"
401,"Elective credit only","0000","TR","TR"
402,"ELE00","0000","TR","TR"
404,"Elective credit only","0000","TR","TR"
405,"Elective credit only","0000","TR","TR"
406,"Elective credit only","0000","TR","TR"
407,"Elective credit only","0000","TR","TR"
408,"Elective credit only","0000","TR","TR"
410,"BIO100","TR","TR","TR"
411,"CHM150","TR","TR","TR"
412,"THR120","TR","TR","TR"
413,"ENG101","TR","TR","TR"
414,"ENG102","TR","TR","TR"
415,"ENG305","TR","TR","TR"
416,"HPE180","TR","TR","TR"
417,"HPE195","TR","TR","TR"
418,"HPE255","TR","TR","TR"
419,"ELE00","TR","TR","TR"
420,"HST201","TR","TR","TR"
421,"GEP2","TR","TR","TR"
422,"MTH113","TR","TR","TR"
423,"MUH110","TR","TR","TR"
424,"ELE00","TR","TR","TR"
425,"HPE152","TR","TR","TR"
426,"ELE00","TR","TR","TR"
427,"HPE126","TR","TR","TR"
428,"ELE00","TR","TR","TR"
429,"ELE00","TR","TR","TR"
430,"ELE00","TR","TR","TR"
431,"ECN202","TR","TR","TR"
432,"ENG101","TR","TR","TR"
433,"ENG102","TR","TR","TR"
434,"GEP3","TR","TR","TR"
435,"POL101","TR","TR","TR"
436,"GEP1E","TR","TR","TR"
437,"HPE154","TR","TR","TR"
438,"SOC100","TR","TR","TR"
439,"THR120","TR","TR","TR"
440,"TRAN000","TR","TR","TR"
441,"Elective credit only","TR","TR","TR"
442,"Elective credit only","TR","TR","TR"
443,"GEP1E","TR","TR","TR"
443,"Elective credit only","TR","TR","TR"
443,"BIO350","TR","TR","TR"
691,"Elective credit only","TR","TR","TR"
693,"Elective credit only","TR","TR","TR"
695,"Elective credit only","TR","TR","TR"
698,"Elective credit only","TR","TR","TR"
706,"Elective credit only","TR","TR","TR"
708,"Elective credit only","0000","TR","TR"
709,"Elective credit only","0000","TR","TR"
710,"Elective credit only","0000","TR","TR"
711,"Elective credit only","0000","TR","TR"
712,"Elective credit only","0000","TR","TR"
713,"Elective credit only","0000","TR","TR"
714,"Elective credit only","0000","TR","TR"
715,"SED395","TR","TR","TR"
716,"SED390","TR","TR","TR"
717,"ENG101","0000","TR","TR"
718,"ENG101","TR","TR","TR"
720,"Elective credit only","0000","TR","TR"
721,"PSY100","0000","TR","TR"
722,"Elective credit only","0000","TR","TR"
723,"Elective credit only","0000","TR","TR"
726,"SOC100","0000","TR","TR"
728,"SPN101","0000","TR","TR"
730,"ACC211","TR","TR","TR"
731,"ACC212","TR","TR","TR"
732,"ELE00","TR","TR","TR"
