,ORG CDE,ORG NAME,CRS CDE,,CRS TITLE,ADV REQ CDE,CREDIT HRS,CREDIT TYPE CDE,GRADE CDE,TRANS YR,TRANS TRM 
,005801,Aarts Operations Ctr  ,DEVELOPMENT,,Leadership,CLP100,3,TR,T,TR  ,TR
,005801,Aarts Operations Ctr  ,MILITARY POLICE,,Wellness/Fitness,HPE256,3,TR,T,TR  ,TR
,006001,Abilene Christian University  ,Bmft 601,,Pre-Internship,,3,TR,T,0000,TR
,006001,Abilene Christian University  ,Bmft 610,,PreMarriage & Marriage Therapy,,3,TR,T,0000,TR
,006001,Abilene Christian University  ,Bmft 639,,Family Theory/Gen Systems,,3,TR,T,0000,TR
,006001,Abilene Christian University  ,Bmft 662,,Family Life Cycle,,3,TR,T,0000,TR
,006001,Abilene Christian University  ,ENG500,,GS:Memoir & Poetry,,3,TR,T,TR  ,TR
,006001,Abilene Christian University  ,ENGL523,,Poetry Workshop,,3,TR,T,TR  ,TR
,006001,Abilene Christian University  ,ENGL613,,Literary Theory and Faith,,3,TR,T,TR  ,TR
,006001,Abilene Christian University  ,ENGL640,,ST: Mythology,,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,ACCT2101,,Principles of Accounting I,ACC211,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,COMM1110,,Public Speaking,THR120,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,ECON2105,,Macroeconomics,ECN202,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,ECON2106,,Microeconomics,ECN201,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,ENGL1101,,Composition I,ENG101,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,ENGL1102,,Composition II,ENG102,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,ENGL2114,,World Literature,ENG305,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,HIST2111,,US History I,HST201,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,MATH111,,College Algebra,GEP2,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,MATH1113,,Pre Calculus Math,MTH115,4,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,MATH2053,,Calculus I,MTH120,4,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,PHED1100,,Health&Wellness,HPE255,2,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,PHED1180,,Varsity Sports I,ELE00,1,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,PHED1190,,Varsity Sports II,ELE00,1,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,PHSC1011,,Physical Science I,GEP3,4,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,POLS1101,,American Government,POL101,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,PSYC1101,,General Psychology,PSY100,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,SCIE1005,,Environmental Science,ELE00,4,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,SPAN1001,,Elementary Spanish I,SPN101,3,TR,T,TR  ,TR
,005001,Abraham Baldwin Coll  ,SPAN1002,,Elementary Spanish II,SPN102,3,TR,T,TR  ,TR
,001981,Academy Art College  ,IAD230,,Survey of Traditional ID,DES381,3,TR,T,TR  ,TR
,001981,Academy Art College  ,IAD231,,Survey of Contemp IAD,DES382,3,TR,T,TR  ,TR
,004001,Adams State Univeristy,Ar   367,,Women Artists in Art History,,3,TR,T,0000,TR
,004001,Adams State Univeristy,ED589,,Bridgng Wrld Hist,,3,TR,T,TR  ,TR
,004001,Adams State Univeristy,Edrd 589,,Phonemic Aware/Phonics,,3,TR,T,0000,TR
,004001,Adams State Univeristy,Edrd 589,,Vocab/Word Mean/Knowledg,,3,TR,T,0000,TR
,004001,Adams State Univeristy,EDRD730,,Teaching Read/Write,,3,TR,T,TR  ,TR
,004001,Adams State Univeristy,SCED 559,,Sharks and Rays,,3,TR,T,TR  ,TR
,004001,Adams State Univeristy,Sced 559,,Solar Sys/Earth&Space Science,,3,TR,T,0000,TR
,004001,Adams State Univeristy,Sced 589,,Teaching HS: Biology,,3,TR,T,0000,TR
,004001,Adams State Univeristy,SCED559,,Sharks & Rays,ELE00,3,TR,T,TR  ,TR
,004001,Adams State Univeristy,SCED589,,Global Climte Chng/Ed/Mid Sch,,3,TR,T,TR  ,TR
,004001,Adams State Univeristy,Teed 589,,Computer/Personal Prod,,4,TR,T,0000,TR
,004001,Adams State Univeristy,Teed 589,,Tchg w/WebQuests Grk-12,,4,TR,T,0000,TR
,005002,Agnes Scott College  ,Bio  103,,Principles of Biol,,4,TR,T,0000,TR
,005002,Agnes Scott College  ,Bio  104,,Principles of Bio B,,4,TR,T,0000,TR
,005002,Agnes Scott College  ,DAN213,,Intermediate Jazz Dance,DAN214,1,TR,T,TR  ,TR
,005002,Agnes Scott College  ,Mth  113,,Precalculus Trigon,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Cs   1101,,Computer Basics,,4,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,En   1101,,Composition,,4,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,En   1102,,English Composition II,,4,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Hu   2220,,"War, Rel and Love in Mid Ages",,4,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Sc   2206,,Intro to Physics,,4,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   1401,,Intermediate Drawing,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   14010,,Figure Drawing II,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   1403,,Principles of Design I,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   1404,,Principles of Design II,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   1407,,Three Dimensional Design,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   1411,,Black & White Photography I,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   2413,,Landscape Painting,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   2800,,Idea Generation & Creative Pro,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   2810,,Anatomy,,3,TR,T,0000,TR
,$00001,Ai Miami Intl University of Art & Design,Va   3415,,Figure Sculpture I,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Acc  101,,Principles of Acco,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Bio  101,,Biological Science,,4,TR,T,0000,TR
,005037,Aiken Technical College  ,Chm  110,,College Chemistry,,4,TR,T,0000,TR
,005037,Aiken Technical College  ,Cpt  101,,Introduction to Com,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Cpt  170,,Microcomputer Appl,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Eco  253,,Macroeconomics,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Eco  254,,Microeconomics,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Eng  101,,English Composition,,3,TR,T,0000,TR
,005037,Aiken Technical College  ,Eng  102,,English Composition,,3,TR,T,0000,TR
