CrsId,ARCCode,CREDIT TYPE CDE,TRANS YR,TRANS TRM 
1,CLP100,TR,TR  ,TR
2,HPE256,TR,TR  ,TR
3,ELE00,TR,0,TR
4,ELE00,TR,0,TR
5,ELE00,TR,0,TR
6,ELE00,TR,0,TR
7,ELE00,TR,TR  ,TR
8,ELE00,TR,TR  ,TR
9,ELE00,TR,TR  ,TR
10,ELE00,TR,TR  ,TR
11,ACC211,TR,TR  ,TR
12,THR120,TR,TR  ,TR
13,ECN202,TR,TR  ,TR
14,ECN201,TR,TR  ,TR
15,ENG101,TR,TR  ,TR
16,ENG102,TR,TR  ,TR
17,ENG305,TR,TR  ,TR
18,HST201,TR,TR  ,TR
19,GEP2,TR,TR  ,TR
20,MTH115,TR,TR  ,TR
21,MTH120,TR,TR  ,TR
22,HPE255,TR,TR  ,TR
23,ELE00,TR,TR  ,TR
24,ELE00,TR,TR  ,TR
25,GEP3,TR,TR  ,TR
26,POL101,TR,TR  ,TR
27,PSY100,TR,TR  ,TR
28,ELE00,TR,TR  ,TR
29,SPN101,TR,TR  ,TR
30,SPN102,TR,TR  ,TR
31,DES381,TR,TR  ,TR
32,DES382,TR,TR  ,TR
33,ELE00,TR,0,TR
34,ELE00,TR,TR  ,TR
35,ELE00,TR,0,TR
36,ELE00,TR,0,TR
37,ELE00,TR,TR  ,TR
38,ELE00,TR,TR  ,TR
39,ELE00,TR,0,TR
40,ELE00,TR,0,TR
41,ELE00,TR,TR  ,TR
42,ELE00,TR,TR  ,TR
43,ELE00,TR,0,TR
44,ELE00,TR,0,TR
45,ELE00,TR,0,TR
46,ELE00,TR,0,TR
47,DAN214,TR,TR  ,TR
48,ELE00,TR,0,TR
49,ELE00,TR,0,TR
50,ELE00,TR,0,TR
51,ELE00,TR,0,TR
52,ELE00,TR,0,TR
53,ELE00,TR,0,TR
54,ELE00,TR,0,TR
55,ELE00,TR,0,TR
56,ELE00,TR,0,TR
57,ELE00,TR,0,TR
58,ELE00,TR,0,TR
59,ELE00,TR,0,TR
60,ELE00,TR,0,TR
61,ELE00,TR,0,TR
62,ELE00,TR,0,TR
63,ELE00,TR,0,TR
64,ELE00,TR,0,TR
65,ELE00,TR,0,TR
66,ELE00,TR,0,TR
67,ELE00,TR,0,TR
68,ELE00,TR,0,TR
69,ELE00,TR,0,TR
70,ELE00,TR,0,TR
71,ELE00,TR,0,TR
72,ELE00,TR,0,TR
73,ENG101,TR,TR  ,TR
74,EN101,TR,TR  ,TR
75,ENG102,TR,TR  ,TR
76,ENG102,TR,TR  ,TR
77,ELE00,TR,0,TR
78,ELE00,TR,0,TR
79,ELE00,TR,0,TR
80,ELE00,TR,0,TR
81,ELE00,TR,0,TR
82,PSY100,TR,TR  ,TR
83,GEP1F,TR,TR  ,TR
84,ELE00,TR,0,TR
85,ELE00,TR,0,TR
86,SOC100,TR,TR  ,TR
87,ELE00,TR,0,TR
88,ELE00,TR,0,TR
89,ELE00,TR,0,TR
90,ELE00,TR,0,TR
91,ELE00,TR,0,TR
92,BIO105,TR,TR  ,TR
93,BIO211,TR,TR  ,TR
94,THR120,TR,TR  ,TR
95,ENG102,TR,TR  ,TR
96,BIO150,TR,TR  ,TR
97,ELE00,TR,TR  ,TR
98,PSY204,TR,TR  ,TR
99,ELE00,TR,0,TR
100,ELE00,TR,0,TR
101,ELE00,TR,0,TR
102,ELE00,TR,0,TR
103,ELE00,TR,0,TR
104,ELE00,TR,0,TR
105,ELE00,TR,0,TR
106,ELE00,TR,0,TR
107,ELE00,TR,0,TR
108,ELE00,TR,0,TR
109,ELE00,TR,0,TR
110,ELE00,TR,0,TR
111,ELE00,TR,0,TR
112,ELE00,TR,0,TR
113,ELE00,TR,0,TR
114,ELE00,TR,0,TR
115,ELE00,TR,0,TR
116,ELE00,TR,0,TR
117,ELE00,TR,0,TR
118,ELE00,TR,0,TR
119,ELE00,TR,0,TR
120,ELE00,TR,0,TR
121,ELE00,TR,0,TR
122,ELE00,TR,0,TR
123,ELE00,TR,0,TR
124,ELE00,TR,0,TR
125,ELE00,TR,0,TR
126,ELE00,TR,0,TR
127,ELE00,TR,0,TR
128,ELE00,TR,0,TR
129,ELE00,TR,0,TR
130,ELE00,TR,0,TR
131,ELE00,TR,0,TR
132,ELE00,TR,0,TR
133,ELE00,TR,0,TR
134,ELE00,TR,0,TR
135,ELE00,TR,0,TR
136,ELE00,TR,0,TR
137,ELE00,TR,0,TR
138,ELE00,TR,0,TR
139,ELE00,TR,0,TR
140,ELE00,TR,0,TR
141,ELE00,TR,0,TR
142,ELE00,TR,0,TR
143,ELE00,TR,0,TR
144,ELE00,TR,0,TR
145,ELE00,TR,0,TR
146,ELE00,TR,0,TR
147,ELE00,TR,0,TR
148,ELE00,TR,0,TR
149,ELE00,TR,0,TR
150,ELE00,TR,0,TR
151,ELE00,TR,0,TR
152,ELE00,TR,0,TR
153,ELE00,TR,TR  ,TR
154,ELE00,TR,TR  ,TR
155,ENV101,TR,TR  ,TR
156,PSY100,TR,TR  ,TR
157,CSC101,TR,TR  ,TR
158,CSC235,TR,TR  ,TR
159,ELE00,TR,0,TR
160,ELE00,TR,0,TR
161,ELE00,TR,0,TR
162,ELE00,TR,TR  ,TR
163,ELE00,TR,TR  ,TR
164,ELE00,TR,TR  ,TR
165,PHI200,TR,TR  ,TR
166,ELE00,TR,0,TR
167,ELE00,TR,TR  ,TR
168,REL100,TR,TR  ,TR
169,ECN201,TR,TR  ,TR
170,ECN202,TR,TR  ,TR
171,EDU305,TR,TR  ,TR
172,ELE00,TR,TR  ,TR
173,ART311,TR,TR  ,TR
174,SED300,TR,TR  ,TR
175,ENG101,TR,TR  ,TR
176,FIN200,TR,TR  ,TR
177,ELEC,TR,TR  ,TR
178,ELE00,TR,TR  ,TR
179,ELE00,TR,TR  ,TR
180,BAD206,TR,TR  ,TR
181,BAD330,TR,TR  ,TR
182,PHI210,TR,TR  ,TR
183,BAD340,TR,TR  ,TR
184,GEP3,TR,TR  ,TR
185,PSY100,TR,TR  ,TR
186,PSY360,TR,TR  ,TR
187,PSY380,TR,TR  ,TR
188,ELE00,TR,TR  ,TR
189,ELE00,TR,TR  ,TR
190,ELE00,TR,0,TR
191,ELE00,TR,0,TR
192,ELE00,TR,0,TR
193,ELE00,TR,0,TR
194,ELE00,TR,0,TR
195,CSC101,TR,TR  ,TR
196,ELE00,TR,TR  ,TR
197,ENG101,TR,TR  ,TR
198,ENG102,TR,TR  ,TR
199,MTH110,TR,TR  ,TR
200,PSY100,TR,TR  ,TR
201,ART100,TR,TR  ,TR
202,REL103,TR,TR  ,TR
203,REL205,TR,TR  ,TR
204,ELE00,TR,TR  ,TR
205,REL100,TR,TR  ,TR
206,CSC100,TR,TR  ,TR
207,PSY233,TR,TR  ,TR
208,ELE00,TR,TR  ,TR
209,ELE00,TR,TR  ,TR
210,EDU610,TR,0,TR
211,EDU611,TR,0,TR
212,EDU611,TR,TR  ,TR
213,EDU600,TR,0,TR
214,ENG101,TR,TR  ,TR
215,ENG102,TR,TR  ,TR
216,ENG305,TR,TR  ,TR
217,ENG101,TR,TR  ,TR
218,ENG102,TR,TR  ,TR
219,ELE00,TR,TR  ,TR
220,HST110,TR,TR  ,TR
221,HST201,TR,TR  ,TR
222,HST201,TR,TR  ,TR
223,ELE00,TR,TR  ,TR
224,ELE00,TR,TR  ,TR
225,ELE00,TR,TR  ,TR
226,ELE00,TR,TR  ,TR
227,ELE00,TR,TR  ,TR
228,HPE255,TR,TR  ,TR
229,MTH101,TR,TR  ,TR
230,MTH423,TR,TR  ,TR
231,ELE00,TR,TR  ,TR
232,GEP2,TR,TR  ,TR
233,MEN150,TR,TR  ,TR
234,PSY100,TR,TR  ,TR
235,PSY380,TR,TR  ,TR
236,PSY231,TR,TR  ,TR
237,ELE00,TR,TR  ,TR
238,SOC100,TR,TR  ,TR
