Orgcode,Name,TwoOrFourYear
5801,Aarts Operations Ctr  ,4
6001,Abilene Christian University  ,4
5001,Abraham Baldwin Coll  ,4
1981,Academy Art College  ,4
4001,Adams State Univeristy,4
5002,Agnes Scott College  ,4
$1 ,Ai Miami Intl University of Art & Design,4
5037,Aiken Technical College  ,2
**AL,Al al-Bayt University -Jordan  ,4
1644,Alabama Sthrn Cmty C  ,2
5005,Alderson-Broaddus College  ,4
5006,Allen University  ,4
1012,Alverno College  ,4
6006,Amarillo College  ,4
4987,American Armn Intl C  ,4
3856,American Institute of El Salvador,4
2486,American Intercontinental University,4
**0015,American Public University System,4
4004,American River Coll  ,4
2688,American University in Dubai  ,4
3003,Amherst College  ,4
1015,Ancilla College  ,4
1016,Anderson University  ,4
5008,Anderson University  ,4
5009,Andrew College  ,4
6025,Angelina Coll  ,4
999901,Anhui Medical University,4
5019,Anne Arundel C C  ,4
5010,Appalachian St Univ  ,4
1420,Arizona State Univ  ,4
782,Arkansas St U Beebe  ,4
6010,Arkansas Tech Univ  ,2
**AASU,Armstrong Atlantic State University,4
5429,Art Institute Atlnta  ,4
**ART,Art Institute of California-Hollywood,4
5583,Art Institute of Charleston  ,4
3834,Art Institute of Charlotte  ,4
2029,Art Institute Pittsb  ,4
469,Artic Sivunmun Ilsgv  ,4
5033,Asheville Buncombe Tech,2
1021,Ashland University  ,4
7354,Athabasca University,4
462,Athens Technical College  ,2
1005,Auburn University  ,4
5336,Augusta College  ,4
**ASTU,Augusta State University  ,4
6759,Austin Cmty Coll Tx  ,2
1028,Austin Peay St Univ  ,4
806,Baker Coll Flint  ,4
1050,Baldwin-Wallace Coll  ,4
1051,Ball State Univ  ,4
5051,Baltimore City Cc  ,2
1052,Barat Coll  ,4
2037,Bard Coll  ,4
2038,Barnard C Columbia U  ,4
784,Barton Co Cmty Coll  ,2
5070,Bauder College  ,4
**Germ,Bavarian State Ministry  ,4
**BACM,Baylor College of Medicine  ,4
2039,Beaver Coll  ,4
6053,Bellevue University  ,4
5055,Belmont Abbey Coll  ,4
1058,Belmont University  ,4
5056,Benedict College  ,4
5058,Bennett College Nc  ,4
2032,Bergen Cmty Coll  ,2
3107,Berklee Coll Music  ,4
4021,Bethany College  ,4
1079,Bethel College In  ,4
723,Bevill St Cc Brewer  ,2
213,Bevill St Cc Walker  ,2
4024,Big Bend Cmty Coll  ,2
1064,Birminghm-Sthrn Coll  ,4
6043,Blinn College  ,4
2646,Bloomsburg Univ Pa  ,4
5083,Blue Ridge Cmty Coll  ,2
5644,Blue Ridge Cmty Coll  ,2
5064,Bluefield St Coll  ,4
5065,Bob Jones University  ,4
2691,Borough Manhattn C C  ,4
787,Bossier Parish Cc  ,2
1069,Bowling Green State University  ,4
5066,Brenau Univ  ,4
5067,Brevard College  ,4
5069,Bridgewater Coll  ,4
4019,Brigham Young U Ut  ,4
2181,Brookdale Cmty Coll  ,2
6070,Brookhaven College  ,4
5074,Broward Cc Ft Lauder  ,2
5735,Broward Community Co  ,2
5036,"Broward Community College, Central",2
1908,Bryan College  ,4
2066,Bucks Co Cmty Coll  ,2
2533,Buffalo State Coll  ,4
2180,Burlington Co Coll  ,2
6191,Butler Co Cmty Coll  ,2
1073,Butler University  ,4
4136,C C Southern Nevada  ,4
7102,Cad Institute  ,4
999996,CAEL,4
4671,Cal St U Sacramento  ,4
5146,Caldwell C C Tech In  ,2
2072,Caldwell Coll  ,4
1356,Calhoun Cmty Coll  ,2
4094,Calif Baptist Coll  ,4
**CALU,California Lutheran College  ,4
2647,California Univ Pa  ,4
2121,Camden Co Coll  ,4
5100,Campbell University  ,4
3289,Cape Cod Cmty Coll  ,2
5094,Cape Fear Cmty Coll  ,2
*00017,Capella University  ,4
5797,Carroll Cmty College  ,2
1102,Carson-Newman University,4
5098,Catawba Vly Cmty Clg  ,2
8308,Cecil Cmty Coll  ,2
740,Central Appl Centre  ,4
5665,Central Carolina Tech  ,2
5102,Central Piedmont C C,2
5147,Centrl Caro Comm Col  ,2
5127,Centrl Florida C C  ,2
1106,Centrl Michigan Univ  ,4
4090,Centrl Oregon C C  ,2
6130,Centrl Texas Coll  ,4
5141,Centrl Virginia C C  ,2
6388,Century College  ,4
4046,Chaffey Cmty College  ,2
535,Chandler Gilbert Cc  ,2
4047,Chapman University  ,4
1225,Charles S Mott C C  ,2
216208,Charles University,4
5079,Charleston Southern Univ  ,4
2081,Chatham Coll  ,4
5441,Chattahoochee Tech I  ,2
1187,Chattahoochee Vly Cc  ,2
1084,Chattanooga State,4
5107,Chowan College  ,4
1121,Christian Bros Univ  ,4
5108,Citadel The  ,4
4052,City Coll San Frnsco  ,4
5109,Claflin University  ,4
6097,Clarendon Coll  ,4
5110,Clark Atlanta Univ  ,2
777,Clark St Cmty Coll  ,2
5142,Clearwater Christn C  ,4
5111,Clemson University  ,4
**0006,CLEP  ,4
5140,Cleveland Community College  ,2
2848,Cleveland State Cc  ,2
2135,Clinton Cmty Coll Ny  ,2
5743,Clinton College,4
3733,Cmty Coll Rhode Is  ,2
5134,Coastal Carolina C C  ,2
5837,Coastal Carolina Univ  ,4
**0000,Coastal Georgia Community College,2
4097,Cochise Coll  ,4
6101,Coe College  ,4
6102,Coffeyville Cmty C  ,2
5112,Coker College  ,4
6129,Colby Community Coll  ,2
4117,Coll Canyons  ,4
4085,Coll Desert  ,4
1983,Coll Lake County  ,4
2089,Coll Of New Rochelle  ,4
4071,Coll Of The Sequoias  ,4
2778,Coll Staten Island  ,4
5115,Coll William Mary Va  ,4
5113,College Of Charleston,4
1083,College Of Dupage  ,4
5144,College of Southern Maryland,4
9976,College of the Ouachitas,4
1951,Collin Co Cmty Coll  ,2
4659,Colorado Chr Univ  ,4
4112,Colorado Mt C Glnwds  ,4
4075,Colorado St Univ  ,4
4611,Colorado State University-Pueblo,4
4108,Columbia College  ,4
1135,Columbia College Il  ,4
5117,Columbia College Sc  ,4
5116,Columbia Interntl U  ,4
1081,Columbia St Cmty Col  ,2
5123,Columbus State University  ,4
3286,Comm Coll Of Vermont  ,2
2063,Community College of Baltimore County,2
3408,Community College of Rhode Island,2
**0020,Concord University,4
1094,Concordia College Mi  ,4
1142,Copiah-Lincoln C C  ,2
4121,Cosumnes River Coll  ,4
6120,Cottey College  ,4
2124,County Coll Morris  ,4
**COVE,Covenant College  ,4
6008,Cowley County Cmty C  ,2
4126,Crafton Hills Coll  ,4
5148,Craven Cmty Coll  ,2
6639,Crown College  ,4
1146,Cumberland Univ  ,4
5139,Dabney Lancaster Cmty College  ,2
21002,Dallas College,4
5167,Dalton College  ,4
1160,Danville Area Cmty C  ,2
5163,Danville Cmty Coll  ,2
5026,Darton College  ,4
1161,David Lipscomb Univ  ,4
5170,Davidson-Davie Community College,2
5159,Daytona  State College,4
5711,Dekalb College  ,4
2125,Delaware County C C  ,2
6176,Delgado Cmty Coll  ,2
1816,Delta College  ,4
**0027,Demoratic Socialist Republic of Sri Lanka,4
5744,Denmark Tech Coll  ,2
11673,Dixie Academy  ,4
4283,Dixie College  ,4
6169,Drury College  ,4
2196,Duquesne University  ,4
2198,Dutchess Cmty Coll  ,2
5180,East Carolina Univ  ,4
1196,East Cntrl Cmty Coll  ,2
