CrsId,ArcCode,CreditType,TYear,TTerm
1,CLP100,TR,TR,TR
2,HPE256,TR,TR,TR
3,,TR,0,TR
4,,TR,0,TR
5,,TR,0,TR
6,,TR,0,TR
7,,TR,TR,TR
8,,TR,TR,TR
9,,TR,TR,TR
10,,TR,TR,TR
11,ACC211,TR,TR,TR
12,THR120,TR,TR,TR
13,ECN202,TR,TR,TR
14,ECN201,TR,TR,TR
15,ENG101,TR,TR,TR
16,ENG102,TR,TR,TR
17,ENG305,TR,TR,TR
18,HST201,TR,TR,TR
19,GEP2,TR,TR,TR
20,MTH115,TR,TR,TR
21,MTH120,TR,TR,TR
22,HPE255,TR,TR,TR
23,ELE00,TR,TR,TR
24,ELE00,TR,TR,TR
25,GEP3,TR,TR,TR
26,POL101,TR,TR,TR
27,PSY100,TR,TR,TR
28,ELE00,TR,TR,TR
29,SPN101,TR,TR,TR
30,SPN102,TR,TR,TR
31,DES381,TR,TR,TR
32,DES382,TR,TR,TR
33,,TR,0,TR
34,,TR,TR,TR
35,,TR,0,TR
36,,TR,TR,TR
37,,TR,TR,TR
38,,TR,0,TR
39,,TR,0,TR
40,ELE00,TR,TR,TR
41,,TR,TR,TR
42,,TR,0,TR
43,,TR,0,TR
44,,TR,0,TR
45,DAN214,TR,TR,TR
46,,TR,0,TR
47,,TR,0,TR
48,,TR,0,TR
49,,TR,0,TR
50,,TR,0,TR
51,,TR,0,TR
52,,TR,0,TR
53,,TR,0,TR
54,,TR,0,TR
55,,TR,0,TR
56,,TR,0,TR
57,,TR,0,TR
58,,TR,0,TR
59,,TR,0,TR
60,,TR,0,TR
61,,TR,0,TR
62,,TR,0,TR
63,,TR,0,TR
64,,TR,0,TR
65,,TR,0,TR
66,,TR,0,TR
67,,TR,0,TR
68,,TR,0,TR
69,,TR,0,TR
70,,TR,0,TR
71,ENG101,TR,TR,TR
72,EN101,TR,TR,TR
73,ENG102,TR,TR,TR
74,,TR,0,TR
75,,TR,0,TR
76,,TR,0,TR
77,,TR,0,TR
78,,TR,0,TR
79,PSY100,TR,TR,TR
80,GEP1F,TR,TR,TR
81,,TR,0,TR
82,SOC100,TR,TR,TR
83,,TR,0,TR
84,,TR,0,TR
85,,TR,0,TR
86,,TR,0,TR
87,,TR,0,TR
88,BIO105,TR,TR,TR
89,BIO211,TR,TR,TR
90,THR120,TR,TR,TR
91,ENG102,TR,TR,TR
92,BIO150,TR,TR,TR
93,ELE00,TR,TR,TR
94,PSY204,TR,TR,TR
95,,TR,0,TR
96,,TR,0,TR
97,,TR,0,TR
98,,TR,0,TR
99,,TR,0,TR
100,,TR,0,TR
101,,TR,0,TR
102,,TR,0,TR
103,,TR,0,TR
104,,TR,0,TR
105,,TR,0,TR
106,,TR,0,TR
107,,TR,0,TR
108,,TR,0,TR
109,,TR,0,TR
110,,TR,0,TR
111,,TR,0,TR
112,,TR,0,TR
113,,TR,0,TR
114,,TR,0,TR
115,,TR,0,TR
116,,TR,0,TR
117,,TR,0,TR
118,,TR,0,TR
119,,TR,0,TR
120,,TR,0,TR
121,,TR,0,TR
122,,TR,0,TR
123,,TR,0,TR
124,,TR,0,TR
125,,TR,0,TR
126,,TR,0,TR
127,,TR,0,TR
128,,TR,0,TR
129,,TR,0,TR
130,,TR,0,TR
131,,TR,0,TR
132,,TR,0,TR
133,,TR,0,TR
134,,TR,0,TR
135,,TR,0,TR
136,,TR,0,TR
137,,TR,0,TR
138,,TR,0,TR
139,,TR,0,TR
140,,TR,0,TR
141,,TR,0,TR
142,,TR,0,TR
143,,TR,0,TR
144,,TR,0,TR
145,,TR,0,TR
146,,TR,0,TR
147,,TR,0,TR
148,,TR,0,TR
149,ELE00,TR,TR,TR
150,ELE00,TR,TR,TR
151,ENV101,TR,TR,TR
152,PSY100,TR,TR,TR
153,CSC101,TR,TR,TR
154,CSC235,TR,TR,TR
155,,TR,0,TR
156,,TR,0,TR
157,,TR,0,TR
158,,TR,TR,TR
159,,TR,TR,TR
160,,TR,TR,TR
161,PHI200,TR,TR,TR
162,,TR,0,TR
163,,TR,TR,TR
164,REL100,TR,TR,TR
165,ECN201,TR,TR,TR
166,ECN202,TR,TR,TR
167,EDU305,TR,TR,TR
168,ELE00,TR,TR,TR
169,ART311,TR,TR,TR
170,SED300,TR,TR,TR
171,ENG101,TR,TR,TR
172,FIN200,TR,TR,TR
173,ELEC,TR,TR,TR
174,ELE00,TR,TR,TR
175,ELE00,TR,TR,TR
176,BAD206,TR,TR,TR
177,BAD330,TR,TR,TR
178,PHI210,TR,TR,TR
179,BAD340,TR,TR,TR
180,GEP3,TR,TR,TR
181,PSY100,TR,TR,TR
182,PSY360,TR,TR,TR
183,PSY380,TR,TR,TR
184,ELE00,TR,TR,TR
185,ELE00,TR,TR,TR
186,,TR,0,TR
187,,TR,0,TR
188,,TR,0,TR
189,,TR,0,TR
190,,TR,0,TR
191,CSC101,TR,TR,TR
192,ELE00,TR,TR,TR
193,ENG101,TR,TR,TR
194,ENG102,TR,TR,TR
195,MTH110,TR,TR,TR
196,PSY100,TR,TR,TR
197,ART100,TR,TR,TR
198,REL103,TR,TR,TR
199,REL205,TR,TR,TR
200,,TR,TR,TR
201,REL100,TR,TR,TR
202,CSC100,TR,TR,TR
203,PSY233,TR,TR,TR
204,,TR,TR,TR
205,ELE00,TR,TR,TR
206,EDU610,TR,0,TR
207,EDU611,TR,0,TR
208,EDU611,TR,TR,TR
209,EDU600,TR,0,TR
210,ENG101,TR,TR,TR
211,ENG102,TR,TR,TR
212,ENG305,TR,TR,TR
213,,TR,TR,TR
214,HST110,TR,TR,TR
215,HST201,TR,TR,TR
216,,TR,TR,TR
217,,TR,TR,TR
218,ELE00,TR,TR,TR
219,ELE00,TR,TR,TR
220,ELE00,TR,TR,TR
221,HPE255,TR,TR,TR
222,MTH101,TR,TR,TR
223,MTH423,TR,TR,TR
224,,TR,TR,TR
225,GEP2,TR,TR,TR
226,MEN150,TR,TR,TR
227,PSY100,TR,TR,TR
228,PSY380,TR,TR,TR
229,PSY231,TR,TR,TR
230,,TR,TR,TR
231,SOC100,TR,TR,TR
232,SPN101,TR,TR,TR
233,SPN102,TR,TR,TR
234,,TR,0,TR
235,ACC211,TR,TR,TR
236,ACC409,TR,TR,TR
237,,TR,0,TR
238,,TR,0,TR
239,,TR,0,TR
240,ART100,TR,TR,TR
241,ELE00,TR,TR,TR
242,ELE00,TR,TR,TR
243,,TR,0,TR
244,,TR,0,TR
245,,TR,0,TR
246,,TR,0,TR
247,,TR,0,TR
248,BIO191,TR,TR,TR
249,ENV101,TR,TR,TR
250,BIO190,TR,TR,TR
251,BIO105,TR,TR,TR
252,GEP3,TR,TR,TR
253,GEP1J,TR,TR,TR
254,,TR,0,TR
255,BAD300,TR,TR,TR
256,ECN300,TR,TR,TR
257,,TR,0,TR
258,GEP1F,TR,TR,TR
259,ELE00,TR,TR,TR
260,GEP1G,TR,TR,TR
261,REL100,TR,TR,TR
262,,TR,0,TR
263,ELE00,TR,TR,TR
264,CSC101,TR,TR,TR
265,,TR,0,TR
266,ELE00,TR,TR,TR
267,,TR,0,TR
268,,TR,0,TR
269,ECN201,TR,TR,TR
270,,TR,0,TR
271,,TR,0,TR
272,,TR,0,TR
273,,TR,0,TR
274,,TR,0,TR
275,,TR,TR,TR
276,,TR,TR,TR
277,EDU360,TR,TR,TR
278,SED300,TR,TR,TR
279,,TR,TR,TR
280,ELE00,TR,TR,TR
281,PSY233,TR,TR,TR
282,EDU203,TR,TR,TR
283,,TR,TR,TR
284,,TR,TR,TR
285,,TR,TR,TR
286,,TR,0,TR
287,,TR,0,TR
288,,TR,0,TR
289,,TR,0,TR
290,,TR,0,TR
291,,TR,0,TR
292,,TR,0,TR
293,,TR,0,TR
294,,TR,0,TR
295,,TR,0,TR
296,ENG101,TR,TR,TR
297,ENG102,TR,TR,TR
